DevicefromM,Server_IPfromM,Operating_System,Status,FixNumber,InstallDate,TitlefromM
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3192137,12/09/2016 00:00,Update
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3211320,07/01/2017 00:00,Update
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5001078,14/03/2021 10:20,Security Update
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5005698,20/09/2021 09:27,Security Update
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB4103723,14/03/2021 10:18,Security Update
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB2267602,29/10/2021 09:52,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.29.0)
WIN-3E3KJCL01N8,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB890830,14/10/2021 12:38,Windows Malicious Software Removal Tool x64 - v5.94 (KB890830)
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3192137,12/09/2016 00:00,Update
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3211320,07/01/2017 00:00,Update
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5001078,14/03/2021 10:20,Security Update
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5005698,20/09/2021 09:27,Security Update
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB4103723,14/03/2021 10:18,Security Update
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB2267602,29/10/2021 09:52,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.29.0)
WIN-4E3KJCL01N1,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB890830,14/10/2021 12:38,Windows Malicious Software Removal Tool x64 - v5.94 (KB890830)
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3192137,12/09/2016 00:00,Update
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB3211320,07/01/2017 00:00,Update
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5001078,14/03/2021 10:20,Security Update
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB5005698,20/09/2021 09:27,Security Update
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB4103723,14/03/2021 10:18,Security Update
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB2267602,29/10/2021 09:52,Security Intelligence Update for Microsoft Defender Antivirus - KB2267602 (Version 1.353.29.0)
WIN-5E3KJCL01N0,192.168.1.249,Microsoft Windows Server 2016 Standard Evaluation,Installed,KB890830,14/10/2021 12:38,Windows Malicious Software Removal Tool x64 - v5.94 (KB890830)
